epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6394,2.38702,5.07712,2.56018,0.00243,0.64974,0.04815,0.02428,2.58557,3.18087,3.2288,0.000272708,0.000272708,0.000272708
2,28.6544,0.94145,3.45233,1.6316,0.51918,0.1722,0.2102,0.122,1.46125,2.43023,2.17208,0.000495888,0.000495888,0.000495888
3,35.5324,0.70813,2.85743,1.45083,0.71563,0.3164,0.362,0.22555,1.35378,1.91338,1.95822,0.000664089,0.000664089,0.000664089
4,42.3696,0.59106,2.43468,1.33947,0.80046,0.40744,0.51863,0.33652,1.26019,1.62317,1.92093,0.000585599,0.000585599,0.000585599
5,49.3535,0.52078,2.15761,1.25731,0.76197,0.50408,0.50402,0.34682,1.17748,1.53861,1.733,0.000503132,0.000503132,0.000503132
6,56.268,0.47682,1.9844,1.21039,0.6284,0.48134,0.62402,0.43679,1.12793,1.46562,1.72987,0.000420665,0.000420665,0.000420665
7,63.0981,0.43663,1.80024,1.17665,0.72935,0.5224,0.6336,0.44955,1.08664,1.19374,1.64536,0.000338198,0.000338198,0.000338198
8,69.9283,0.42164,1.6749,1.15698,0.83555,0.5511,0.68767,0.49541,1.01298,1.11512,1.55858,0.000255731,0.000255731,0.000255731
9,76.8304,0.39291,1.60096,1.13792,0.83817,0.52614,0.70479,0.5005,1.05088,1.05987,1.57858,0.000173264,0.000173264,0.000173264
10,83.6767,0.38583,1.54497,1.12983,0.87407,0.53408,0.71093,0.515,1.0375,1.03898,1.55309,9.0797e-05,9.0797e-05,9.0797e-05
